,category,length,text
0,Fernsehserie nach Staat,518,"Achtung: Streng geheim! (Originaltitel: Mission Top Secret) ist eine australische Jugend- und Actionserie. Nach einem Pilotfilm von 1990 (Das Auge des Salomon) entstanden 1992/93 und 1995 zwei Staffeln mit jeweils sechs Episoden à 85 Minuten. Daneben gibt es eine alternative Fassung, in der jede Episode aus vier Teilen à 25 Minuten besteht, welche jeweils auch einen Rückblick auf die letzte und eine Vorschau auf die nächste Folge beinhalten. Der Pilotfilm wurde ab November 1992 in vier Teilen ausgestrahlt und bisher nicht wiederholt. Die weiteren Folgen liefen in Deutschland ab Oktober 1994 mehrfach in beiden Fassungen. Aktuell ist die Serie nicht mehr innerhalb der ARD zu sehen, da die Ausstrahlungsrechte in der Zwischenzeit ausgelaufen sind (erste Staffel: Ende 2012; zweite Staffel: Ende 2007). Die erste Staffel erschien am 8. April 2016 auf DVD.Im Pilotfilm stößt der junge Spanier Pedro während einer Wanderung durch Australien zufällig auf eine computertechnisch hochausgerüstete Geheimzentrale, das Centauri-Hauptquartier. Im Folgenden kämpft er mit einem Team gegen den Erzschurken Neville Savage, der auch in den weiteren Folgen der Gegenspieler der Centauri-Kinder sein wird.
Die erste Staffel handelt von den Geschwistern Albert und Victoria Wiggins, deren Eltern ums Leben kamen und die wegen Verhaltensauffälligkeiten ein Waisenhaus in Sydney verlassen mussten, woraufhin sie von ihrem Onkel Sir Joshua Cranberry adoptiert wurden. Cranberry ist ein Erfinder und Tüftler, der im Keller seiner Farm abseits von Sydney einen Super-Computer beherbergt. Dieser wird durch einen technischen Zufall das Zentrum des Centauri-Netzwerks, ein weltumspannendes Netzwerk von miteinander kommunizierenden Kindern. Der Name Centauri leitet sich von dem Sternbild ab, in dem sich der genutzte Telekommunikationssatellit zu dem Zeitpunkt befand, Alpha Centauri.
Durch Centauri wird fortan der Erzschurke Nevill Savage davon abgehalten, seine dunklen Machenschaften, in der Regel zur eigenen Bereicherung, zum Erfolg zu führen. Beispielsweise verhindert Centauri zu Beginn, dass Savage an wichtige Daten aus dem Spacelab-Projekt Astrotel gelangt, an dem der verstorbene Vater von Victoria und Albert gearbeitet hatte. Im Folgenden reisen die Centauri-Kids um die ganze Welt, etwa nach Großbritannien, Deutschland, Spanien und Südafrika, wo sie sich stets im Wettlauf mit Savage beweisen. Dabei werden Sie von den anderen Mitgliedern des Centauri-Netzwerks und von der Zentrale in Australien unterstützt.
In der zweiten Staffel werden Albert, Victoria und die Computerspezialistin Jemma Snipe, welche die Zentrale betreut hatte, nicht mehr erwähnt. An ihre Stelle rücken Spike Baxter, der Albert und Victoria schon zu Beginn der Serie aus dem Waisenhaus gefolgt war, Sandy Weston, die am Ende der ersten Staffel zunächst von Savage als Spionin in das Centauri-Netzwerk eingeschleust wurde, sowie die Geschwister Kat und David Fowler, deren Mutter als Haushälterin auf der Farm lebt und arbeitet.Die PCU (Personal Communication Unit), mit der die Centauri-Kinder in der ersten Staffel untereinander kommunizieren, ist in Wirklichkeit ein modifizierter Organizer vom Typ Sharp IQ-7000."
1,Fernsehserie nach Staat,877,"Alien Surfgirls ist eine australische Jugendserie mit Fantasy- und Science-Fiction-Elementen. Sie wurde von 2011 bis 2012 von Jonathan M. Shiff Productions in Zusammenarbeit mit dem ZDF, ZDF Enterprises und dem australischen Sender Network Ten produziert. Die Erstausstrahlung erfolgte am 29. Mai 2012 zunächst in den USA auf dem Sender TeenNick und am 22. Juni 2012 bei Network Ten. In Deutschland begann der Sender KiKA die Ausstrahlung am 9. Juli 2012, bevor sie auch im ZDFtivi gezeigt wurde.In einer stürmischen Nacht explodiert das Raumschiff der Aliens-Teenager Zoey und Kiki, die vom Planeten Lumina kommen, und die beiden landen in der verschlafenen Küstenstadt Lightning Point. Da ihr Raumschiff sich nicht mehr steuern lässt, müssen sie einen längeren Aufenthalt auf der Erde in Kauf nehmen. Aber darüber sind sie nicht abgeneigt, da sie endlich ihren Traum verwirklichen können: Surfen im Pazifik. Sie freunden sich mit dem Surfgirl Amber an, die hinter ihr Geheimnis kommt und die beiden bei sich aufnimmt. Jedoch kommt es immer wieder zu Komplikationen mit Zoey und Kiki, da sie unerkannt bleiben müssen. Vor allem Ambers bester Freund Luca kommt den beiden immer auf die Schliche, aber die drei müssen auch noch herausfinden, dass Zoey und Kiki wahrscheinlich nicht die ersten Außerirdischen in Lightning Point sind.Amber Mitchell
Amber wuchs in Lightning Point auf und ihr Leben war ziemlich normal, bis sie Zoey und Kiki kennenlernte. Seitdem unterrichtet sie die zwei, wie man auf der Erde lebt und handelt. Sie lebt mit ihrer Mutter, die als Sergeant bei der Polizei arbeitet, und ihrem Hund Piper zusammen. Sie ist mit Luca Benedict befreundet, teilt aber nicht seine Besessenheit für Außerirdische. Wenn sie nicht gerade Zoey und Kiki unterrichtet, gibt sie kleinen Kindern Surfunterricht.Zoey
Zoey ist schlauer, wilder und impulsiver als die meisten Menschen auf der Erde. Sie will die Kontrolle über jede Situation, aber das ist auf einem unbekannten Planeten schwierig. Zoey ist von Natur aus ehrgeizig und sie kann nicht widerstehen, eine Herausforderung zum Surfen anzunehmen. Dabei erregt sie die Aufmerksamkeit von Brandon Benedict, aber gleichzeitig den Hass von Brandons Freundin Madison.Kiki
Kiki ist sensibel und neugierig und ist von Lightning Point fasziniert und genießt alles, was der Ort zu bieten hat. Sie liebt es, in der Natur zu sein, vor allem auf einem Surfbrett. Außerdem will sie die Tiere, die Menschen und auch sonst alles kennenlernen. Kiki will verstehen, was es wirklich bedeutet, ein Mensch zu sein. Kiki hat oft Heimweh nach Lumina, aber als sie Gefühle für Luca entwickelt, wird ihr klar, dass der Aufenthalt auf der Erde doch seine Vorteile hat.Luca Benedict
Er ist ein Außenseiter in Lightning Point, da er nicht surft, aber an UFOs und außerirdisches Leben glaubt. Dies macht ihn zu einem leichten Ziel für Brandon und seine Freunde. Amber ist der einzige Mensch, der Luca wirklich versteht. Die beiden sind seit ihrer Kindheit befreundet, als sie Nachbarn waren. Als Zoey und Kiki ankommen, glaubt Luca, Anzeichen außerirdischer Aktivität gefunden zu haben. Er beschließt, dies weiter zu untersuchen. Als er und Kiki sich näherkommen, wird seine Überzeugung von der Anwesenheit von Aliens stärker. Er weiß nicht, dass Kiki ein Alien ist.Brandon Benedict
Brandon ist der beliebteste Surfer der Stadt, weshalb er eine kleine lokale Berühmtheit ist. Außerdem ist er der beste Surfer, bis Zoey auftaucht. Er ist von ihr sofort begeistert, was seine Freundin Madison nicht erfreut. Er ist der Adoptivbruder von Luca. Er neckt seinen Bruder, weil dieser an UFOs und Aliens glaubt.Madison
Sie hält sich selber für das heißeste Mädchen in Lightning Point und ist deshalb nicht begeistert, dass Zoey und Kiki in der Stadt auftauchen. Madison bekommt immer das, was sie will und setzt alles daran, die Beliebteste in der Stadt zu sein. Dafür sind ihr alle Mittel recht. Als sie herausfindet, dass zwischen ihrem Freund Brandon und Zoey die Funken sprühen, setzt sie alles daran Zoey schlecht aussehen zu lassen.Am 25. August 2010 wurde die Produktion der Serie bekanntgegeben. Es wurden hunderte von Teenagern für die Hauptrollen gecastet, die meisten davon aus Australien. Die Dreharbeiten zur ersten Staffel begannen am 8. November 2011 in den Village Roadshow Studios an der Gold Coast. Im Januar 2013 wurde bekannt, dass es keine zweite Staffel geben wird.Die Serie wird seit dem 29. Mai 2012 auf dem US-amerikanischen Fernsehsender TeenNick ausgestrahlt. In Australien soll die Serie ab dem 22. Juni 2012 auf dem Sender Network Ten ausgestrahlt werden. Während die Serie in den USA unter dem gleichen Titel geführt wird, wird die Serie in Australien unter dem Titel Lightning Point ausgestrahlt.
In Deutschland lief die Serie vom 9. Juli bis zum 6. August 2012 in der Primetime von KiKA. Das ZDFtivi strahlte die Serie ab dem 10. November 2012 aus."
2,Fernsehserie nach Staat,1199,"All Saints ist eine australische Fernsehserie von Jo Porter, Di Drew und MaryAnne Carroll, die von 1997 bis 2009 im Auftrag des australischen Senders Seven Network produziert wurde. Sie handelt von den Krankenschwestern und Ärzten, die im Sydneyer Krankenhaus All Saints General Western Hospital arbeiten. Die Ausstrahlung der Serie begann am 28. Februar 1998 auf Seven Network und wurde am 27. Oktober 2009 nach über 490 ausgestrahlten Episoden beendet. Sie ist damit die bis dato am längsten laufende Ärzte- bzw. Krankenhausserie und nach Blue Heelers und Homicide die am drittlängsten laufende Dramaserie in Australien. Sie wird auch als der australische Rivale zur US-amerikanischen Krankenhausserie Emergency Room – Die Notaufnahme bezeichnet.
In Australien erzielte die Serie eine der größten Einschaltquoten für Dramaserien und erfreute sich auch in Übersee, darunter Großbritannien, Irland und Belgien, großer Beliebtheit. In ihrer elfjährigen Laufzeit konnte die Serie neun Logie Awards, die mit den Emmys in den USA vergleichbar sind, und zwei AFI Awards gewinnen. Daneben wurde sie insgesamt 55-mal für einen dieser beiden Preise nominiert.All Saints zeigt die Arbeit der Krankenschwestern und Ärzte in dem fiktionalen Krankenhaus All Saints General Western Hospital, welches in einem Vorort in Sydney liegt, aus der Perspektive der Schwestern, sodass der Zuschauer einen Einblick in die Arbeit dort bekommt. Die Serie konzentriert sich dabei auf einige Schwestern, Ärzte und andere Mitarbeiter und ihre Probleme bei der Arbeit. Daneben zeigt sie auch die Beziehungen untereinander sowie ihr Privatleben. Ein wiederkehrende Elemente sind das herumärgern des Krankenhauses mit Rechtsstreitigkeiten, oder das Thematisieren von strafrechtliche Anklagen und Angeklagten. Die Episoden beginnen häufig mit der Einlieferung eines neuen Patienten. Die Schwester erklärt daraufhin dem Arzt die Anamnese und seit der Verletzung bereits durchgeführten Behandlungen. Daraufhin werden unerwartete oder überraschende Krankheiten diagnostiziert. In der Regel sind die Geschichten in den einzelnen Episoden abgeschlossen.
Die Staffeln eins bis sieben handeln hauptsächlich vom Alltag der Station 17, welche von der Krankenschwester Terri Sullivan geleitet wird. Die Station wird allgemein auch als „Müllstation“ bezeichnet, da sie die meisten Patienten aufnimmt. In der Mitte der siebten Staffel wird die Station 17 schließlich geschlossen, woraufhin die Ärzte und einige Schwestern nun in der Notaufnahme weiterarbeiten. Die Staffeln sieben bis elf zeigen so den Alltag in der von Frank Campion geleiteten Notaufnahme. In diesen Staffeln wird mehr auf das Privatleben der Hauptcharaktere sowie der Schwestern auch einiger Ärzte eingegangen. In der zwölften und zugleich letzten Staffel wird neben der Notaufnahme auch das Team der Medical Response Unit thematisiert. So werden Ärzte mit einem Hubschrauber zum Patienten geflogen oder mit diesem Patienten ins Krankenhaus gebracht.
In der letzten Episode richten die Mitarbeiter der Notaufnahme und der Medical Response Unit der letzten seit Eröffnung des Krankenhauses noch arbeitenden Schwester Yvonne „Von“ Ryan zum Abschied an ihrem letzten Arbeitstag ein Dinner aus.Die Produktion der Serie begann Anfang 1998 in Sydney. Als Außenkulisse des All Saints General Western Hospital diente das Repatriation General Hospital im Sydner Vorort Concord. Daneben wurde das Ku-ring-gai Hospital in Hornsby für weitere Außenaufnahmen und für einige Stellen im Innenraum, wie den Operationssälen, verwendet. Als Reaktion auf die zurückgegangenen Einschaltquoten, gefolgt von dem Abgang von Erik Thomson als Dr. Mitch Stevens, entschieden die Produzenten der Serie den Haupthandlungsort von der Station 17 zur Notaufnahme des All Saints Western General Hospital zu wechseln. Das Set für die Notaufnahme wurde zum Jahreswechsel 2003/2004 aufgebaut und die Dreharbeiten dazu begannen im Februar, sodass die ersten Episoden mit der Notaufnahme bereits im April 2004 im Fernsehen zu sehen waren. Der Wechsel bescherte den Drehbuchautoren die Möglichkeiten einige Charaktere rauszuschreiben und dafür neue einzuführen. Mit dem Umzug, der als „All Saints’ Notoperation“ (englisch All Saints’ emergency surgery) bezeichnet wurde, wurden nun neben dem Privatleben der Schwestern diese auch bei einigen Ärzten näher behandelt. Dieser Themenwechsel brachte der Serie schließlich die erhoffte Steigerung der Einschaltquoten ein.
Zu Anfang der zwölften Staffel im Jahr 2009 wurde dann die Medical Response Unit eingeführt. Diese besitzt einen Hubschrauber und ein Fahrzeug mit Allradantrieb, wodurch es an Ort gelangen konnte, an die ein Krankenwagen nie hinkommen würde. So wurden in der Staffel neben der alltäglichen Arbeit in der Notaufnahme auch einige Szenen mit den Rettungssanitätern gezeigt. Als einer der Rettungsassistent wurde Mirrah Foulkes engagiert. Nachdem bereits im Juli aufgrund von zu Hohen Kosten das Serienende nach der aktuellen zwölften Staffel bekannt gegeben wurde, erfolgte der letzte Drehtag zur Serie am 26. August 2009.Änderungen in der Hauptbesetzung der Serie gab es seit dem Serienstart in jeder Staffel. So kommen neue Charakter zu Anfang der Staffel als auch im weiteren Verlauf dieser hinzu, wobei einige vorher auch als Nebencharakter eingeführt wurden. Aussteigende Charakter verlassen die Serie auch nicht immer mit dem Staffelfinale, wobei manche auch später noch als Gastdarsteller zurückkehrten. Die wichtigsten Nebendarsteller sind im folgenden Abschnitt Nebenbesetzung zusammengefasst.Die Ausstrahlung der Serie begann am 24. Februar 1998 mit einer Doppelfolge auf dem australischen Sender Seven Network. Das erste Staffelfinale wurde am 17. November 1998 ausgestrahlt. In den folgenden Jahren begann die neue Staffel immer im Februar und endete im November desselben Jahres. Die Episodenanzahl lag zwischen 40 und 43 Episoden pro Staffel, die letzte besteht nur aus 37 Episoden. Aufgrund zu hoher Produktionskosten wurde im Juli 2009 das Ende der Serie nach der aktuellen zwölften Staffel bekannt gegeben und diese um drei Episoden verkürzt. Die Ausstrahlung der letzten Staffel wurde schließlich am 27. Oktober 2009 beendet. All Saints ist mit 494 Episoden die am längsten laufende Ärzte- bzw. Krankenhausserie und nach Blue Heelers und Homicide die am drittlängsten laufende Dramaserie Australiens.
Eine Ausstrahlung in Deutschland oder dem deutschsprachigen Raum gibt es nicht.Im Jahr 2005 erwarb EMI Australia die Rechte an einer DVD-Veröffentlichung und brachte die ersten fünf Staffeln zwischen dem 28. November 2005 und dem 9. Juli 2007 heraus. Nachdem EMI 2007 die Rechte verloren hatte, erwarb Universal Pictures Australia sie 2008 und veröffentlichte die Staffeln acht bis zwölf zwischen dem 9. September 2009 und dem 29. September 2010. Die Staffeln sechs und sieben folgten schließlich mit den Neuveröffentlichungen der ersten fünf Staffeln am 2. März 2011.Insgesamt konnte die Serie in ihrer elfjährigen Laufzeit neun Logie Awards in den Kategorien Most Popular Actress, Most Popular Actor und Most Popular Program und zwei AFI Awards in der Kategorie Beste Episode in einer Dramaserie gewinnen. Die Schauspielerin Georgie Parker gewann in den Jahren 2001 und 2002 den Award in der Kategorie Most Popular Personality On Australian Television. Daneben wurde die Serie zweimal vom Australian Screen Sound Guild in der Kategorie Best Achievement in Sound for a Drama Series geehrt. 2009 konnte der Kameramann Matthew Horrex den ACS-Award in der Kategorie Best Cinematographer in Telefeatures, TV Drama & Mini Series gewinnen."
3,Fernsehserie nach Staat,142,"Alle lieben Diggy ist eine australische Zeichentrickserie, die zwischen 1997 und 1998 produziert wurde.Diggy ist der beste Freund der kleinen Daisy und sehr neugierig. Hat er sich einmal eine Sache in den Kopf gesetzt, will er diese auch durchziehen. Dafür reist er auch an viele verschiedene Orte und lässt sich von niemanden dabei aufhalten. Daisy ist allerdings meist nie weit entfernt, da sie dafür sorgt, dass das Schlimmste verhindert wird.Die Serie wurde zwischen 1997 und 1998 in Australien produziert. Dabei sind 13 Doppelfolgen entstanden. Regie führten Tony Ealey und Wally Micati und die Musik stammt von Clive Harrison.
Die deutsche Erstausstrahlung fand am 10. September 1999 auf dem Fernsehsender Junior statt. Weitere Ausstrahlungen erfolgten ebenfalls auf RTL II, Fix & Foxi und YFE TV und auf mehren Video-on-Demand-Angeboten."
4,Fernsehserie nach Staat,249,"Angry Boys ist eine australische Comedyserie im Mockumentary-Stil von Chris Lilley welcher zugleich als Darsteller in unterschiedlichen Rollen agiert. Die Serie erkundet das Leben junger Heranwachsender im 21. Jahrhundert und zeigt deren Einflüsse, Träume und Ambitionen. Lilley übernimmt dabei mehreren Rollen:

Daniel und Nathan Sims, zwei Südaustralische Zwillinge,
S.mouse, ein amerikanischer Rapper,
Jen, eine manipulative japanische Mutter,
Blake Oakfield, ein Surfchampion,
Ruth Sims, eine Sicherheitsfrau in einem Jugendarrest und Großmutter von Daniel und NathanDie Serie ist eine Co-Produktion der Australian Broadcasting Corporation und des US-amerikanischen Kabelsenders Home Box Office. Der britische Sender BBC Three hat die Serie zudem bereits vor Fertigstellung eingekauft. Gedreht wurde in Melbourne, Los Angeles und Tokio. Die Premiere erfolgte am 11. Mai 2011 um 21:00 Uhr auf dem australischen Sender ABC1. Nach einer Staffel mit zwölf Episoden wurde die Serie eingestellt.Die deutsche Synchronisation entstand durch die Synchronfirma Level 45 GmbH in Berlin.Die Erstausstrahlung erfolgte am 11. Mai 2011 auf dem australischen Sender ABC1 und erreichte eine Quote von 1,368 Millionen Zuschauern. Die zweite Episode erreichte mit 1,346 Millionen Zuschauern annähernd die gleiche Quote. Im Verlauf der ersten Staffel sanken die Quoten jedoch stetig ab, so dass die zehnte Episode mit 0,453 Millionen Zuschauern den niedrigsten Wert der Serie hatte.Die deutschsprachige Erstausstrahlung wurde vom 26. Juni bis zu 11. September 2013 auf dem Pay-TV Sender Sky Atlantic HD ausgestrahlt."
5,Fernsehserie nach Staat,192,"Auf der Suche nach der Schatzinsel ist eine australische Fernsehserie, in der sich mehrere Charaktere auf die Suche nach Robert Louis Stevensons Schatzinsel begeben.Robert Louis Stevenson, der Autor der „Schatzinsel“, liegt im Sterben. Er erzählt seinem Freund Baumann, dass die Insel und der Schatz tatsächlich existieren und vererbt ihm eine Schatzkarte. 100 Jahre später macht sich Paul Raymond, der in den Besitz der Karte gelangt ist, auf die Suche nach der Schatzinsel. Mit an Bord ist der Ururenkel von Stevensons Freund, Karl Baumann, der die Geschichte der Schatzinsel kennt. Das Schiff gelangt in einen Sturm, bei dem Karl über Bord geht und als einziger Überlebender zurückkehrt. Als Pauls Frau Sally erfährt, dass ihr Mann möglicherweise noch am Leben ist, macht sie sich mit den Kindern Jacqui und Mark und mit Karl Baumann und dem Kapitän Escovar auf den Weg, Paul zu finden. Unterwegs nehmen sie Thea an Bord, die hilflos auf einem Floß treibt. Als sie sich der Insel nähern, geraten sie in einen gewaltigen Malstrom.Erste Staffel

Zweite Staffel"
6,Fernsehserie nach Staat,341,"Auf und davon (Originaltitel: Runaway Island) ist eine 16-teilige australisch-französische Kinder- und Jugendfernsehserie. Die Buchvorlage lieferte Paul Wheelahan, der die Geschichte nach einer wahren Begebenheit erzählte. Regie führte Frank Arnold.Die Geschwister Jaime und Jemma McLeod leben mit ihrem Vater auf einem Landsitz nahe der Hafenstadt Sydney. Zu Anfang des 19. Jahrhunderts ist Australien noch britische Kolonie und wird vornehmlich dazu benutzt, Straftäter aus dem Mutterland dorthin zu verbannen. Kontrolliert wird der Bundesstaat New South Wales von dem korrupten und gewalttätigen Captain Corkle, der das Recht mit Füßen tritt und die Einwohner mit seinen Polizeieinheiten und Helfershelfern einzuschüchtern sucht. Lachalan McLeod, der Vater der Kinder ist entschlossen, dem Treiben von Corkle und seiner Bande ein Ende zu setzen. Akribisch hat er belastendes Material gesammelt, das er nun nach England bringen will, um eine Absetzung und Anklage gegen Corkle zu erwirken. Doch Corkle kommt ihm zuvor und lässt ihn verhaften.
Auch Jaime und Jemma McLeod geraten in die Hände von Corkle und seinen Schergen und landen im Gefängnis. Dort lernen sie die Straßenjungen Tom und Nipper kennen. Es gelingt ihnen zu fliehen. Mit Hilfe der Wirtin Polly, die eine Taverne am Hafen betreibt, sowie dem Landarbeiter Rodriguez flüchten die Kinder auf eine Insel nahe der Stadt. Inzwischen haben sich weitere Straßenkinder ihnen angeschlossen, die, getrieben von Hunger und bitterer Armut, nichts mehr zu verlieren haben. Hinzu kommt noch der Landstreicher Joe Dunn, den sie für sich gewinnen können. Sie alle schwören, gemeinsam den Kampf gegen Corkle aufzunehmen und alles zu tun, um McLeod zu befreien und Gerechtigkeit zu erwirken.Allein gegen alle
Die Tabaksdose
Mitgegangen - Mitgefangen
Wettlauf gegen die Zeit
Der Verrat
Ein Freund namens J.M.
Auf der Flucht
Es lebe die Freiheit
Die Macht des Goldes
Der schwarze Falke
Das Geheimnis der Todesschlucht
Die Goldmine
In der Falle
Ein Schiff aus Spanien
Der Schatz der Inkas
Das Duell"
7,Fernsehserie nach Staat,283,"Australien-Express (Originaltitel: Five Mile Creek) ist eine australische Westernserie, von der zwischen 1983 und 1985 drei Staffeln entstanden. Sie basiert auf dem Bestseller-Roman The Cherokee Trail von Louis L’Amour. Produziert wurde die Serie von der Walt Disney Company.Australien zur Pionierzeit Mitte des 19. Jahrhunderts: Zahlreiche Abenteurer haben sich im Goldrausch hier niedergelassen. Das Land ist wild und voller Buschräuber. Trotzdem wollen der Amerikaner Con Madigan und der Australier „Gentleman Jack“ Taylor eine Postkutschenlinie vom Küstenort Port Nelson nach Wiga aufbauen. Zu ihren Verbündeten zählt Kate Wallace, die in Five Mile Creek eine Zwischenstation betreibt. In der Amerikanerin Maggie Scott, die mit ihrer Tochter Hannah in Five Mile Creek strandet, findet Kate eine Freundin und Helferin. Gemeinsam kämpfen sie gegen finanzielle Schwierigkeiten und andere Hindernisse im Land, um den Australien-Express ins Rollen zu bringen.In Australien wurden die 13-teilige erste Staffel vom 4. November 1983 bis zum 16. Mai 1984 auf Seven Network ausgestrahlt. Die zweite Staffel mit weiteren 13 Episoden war vom 6. Juni bis zum 5. Dezember 1984 zu sehen. Die dritte und letzte Staffel, die wiederum aus 13 Episoden besteht, lief vom 2. Januar bis zum 7. August 1985 auf Seven Network.Die deutschsprachige Erstausstrahlung der ersten beiden Staffeln war vom 13. Dezember 1986 bis zum 13. Juni 1987 im Ersten. Die dritte Staffel folgte vom 23. Juni bis zum 15. September 1990 ebenfalls im Ersten.2005 veröffentlichte Disney die DVD zur ersten Staffel der Serie. Über eine Veröffentlichung der beiden anderen Staffel ist nichts bekannt."
8,Fernsehserie nach Staat,401,"Bananas in Pyjamas ist eine für Kinder gedrehte Puppenfilmserie aus Australien. 
In Australien läuft die Serie seit 1992 auf dem Sender ABC. In diesem Jahr wurde sie auch produziert. Erstmals in den Jahren 1996 und 1997 wurde die Sendung in Deutschland auf dem Sender ZDF ausgestrahlt.Die Serie handelt von zwei befreundeten Riesenbananen in blau-weißgestreiften Schlafanzügen, die gerne viel Spaß miteinander haben und immer wieder nur eins im Sinn haben: Jeden Dienstag drei unschuldige Teddybären namens Amy, Lulu und Morgan zu jagen.
Ansonsten besuchen sie gerne ihren Freund Rätti, eine Ratte mit Käppi, die einen Krämerladen besitzt und eine etwas hinterlistige Rolle spielt.
Alle zusammen leben sie fröhlich und gemeinsam in der sogenannten Knuffelallee.
Die zwei Bananen, die die Hauptrollen spielen, nennen sich kurz B1 und B2. Sie sind zwar nicht besonders schlau, scheinen aber immer gute Ideen zu entwickeln und sehr kreativ zu sein. Der traditionelle Ausspruch der Sendung ist der Satz: „Denkst du auch, was ich denke, B1?“ Darauf antwortet dann B1: „Ich glaub schon, B2!“ Daraufhin rufen sie beide im Chor: „Jetzt wird gefeiert!“Die Verfasser dieser Sendung hießen:

Simon Hopkinson
Bob La Castra
Debra Oswald
Richard Tulloch
Kris WyldFolgende Personen haben in den Kostümen mitgewirkt

Duncan Wass: B1 (1992–1993)
Ken Radley: B1 (1993–)
Nicholas Opolski: B2 (1992–)
Sandie Lillingston: Amy (1992–1993)
Mary Ann Henshaw: Lulu (1992–1993)
Taylor Owyns: Lulu (1993–)
Jeremy Scrivener: Morgan (1992–)
Shane McNamara: Rätti (1993–)Das Titellied lautet:

Bananas in Pyjamas sind lustig anzuseh'n.
Bananas in Pyjamas – zwei, die sich gut versteh'n.
Bananas in Pyjamas wollen Teddys necken geh'n,
doch allen macht das großen Spaß, ihr werdet es gleich seh'n.Die Serie wurde in mehrere Sprachen übersetzt und verbreitet. Bisher sind vier Videos auf dem deutschen Markt erschienen und im Handel erhältlich. 

Die Schatzsuche
Die Pyjamaparty
Monster Bananas
Die Teddys ShowDie deutsche Fassung wurde von TV+Synchron Berlin produziert.Internetfilm-Datenbank (Verfasser und Darsteller)
Das Fernsehlexikon (Seite 114)
wunschliste.de: Bananas in Pyjamas (Australien, 1992–2000) – Serieninfos & News"
9,Fernsehserie nach Staat,438,"Bangkok Hilton ist eine australische Miniserie von Ken Cameron aus dem Jahr 1989.Der jungen Australierin Katrina Stanton wird von ihrem Urlaubsflirt Heroin untergeschoben. Sie wird in Bangkok im Bangkwang-Gefängnis eingesperrt, das zynisch „Bangkok Hilton“ genannt wird. Ihr Vater, ein pensionierter Jurist, der bisher in ihrem Leben nicht die geringste Rolle gespielt hat, versucht, sie mit Hilfe eines befreundeten Anwalts frei zu bekommen. Ihr droht die Todesstrafe. Der Urlaubsflirt entpuppt sich als gewerblicher Drogenhändler und ist zunächst spurlos verschwunden, so dass das Gericht der Australierin keinen Glauben schenkt. Der Vater versucht vorerst erfolglos, den Drogenhändler ausfindig zu machen, indem er seine Reiseroute nachvollzieht und zwecks Recherche sogar nach London reist. Im indischen Goa verfehlt er ihn nur um Haaresbreite.
Im Gefängnis freundet sich Katrina Stanton mit der wegen Drogenhandels zum Tod verurteilten Mandy Engels an. Durch ihre Hilfe weiß sie bald, welche Vergünstigungen durch Bestechung erreichbar sind. Mandys geistig behinderter Bruder sitzt in der Männerabteilung des Gefängnisses, weshalb sie auch weiß, wie man in die Männerabteilung kommen kann.
Mandy und ihr Bruder werden bald darauf hingerichtet. Katrina wird ebenfalls zum Tode verurteilt. Aber der Anwalt und seine Mandantin geben nicht auf. Der Vater gibt gegenüber dem Anwalt zu, vor Kriegsende 1945 selbst in dem Gefängnis als Kriegsgefangener eingesperrt gewesen zu sein und einen Ausbruchsversuch verraten zu haben. Nun kann er mit diesem Wissen seiner Tochter helfen: Sie bricht durch die Männerabteilung aus dem Gefängnis aus und kann mit Hilfe eines falschen Passes nach Australien ausfliegen.
Nachdem sich Vater und Tochter in einem Hotel in Goa auf die Lauer gelegt haben, gelingt es zu guter Letzt auch, den Drogenhändler der Polizei zu übergeben.Nicole Kidman wurde im Jahr 1989 für den Australian Film Institute Award nominiert.Mit dieser Filmrolle wurde Nicole Kidman bekannt. Ihr Vater wurde von dem damals bereits schwer kranken Denholm Elliott gespielt, für den es eine seiner letzten Rollen war.Die kanadischstämmige Hollywoodschauspielerin Deborah Kara Unger gab als Zellengenossin Astra ihr Debüt als Schauspielerin.Mittlerweile hat sich mit dem Fall Schapelle Corby ein vergleichbarer Sachverhalt tatsächlich zugetragen.Tatsächlich gab es schon früher einen ähnlichen Fall, dessen Echo in der englischen Presse mit zur Entstehung des Films beigetragen haben mag: den von Rita Nightingale, die ebenfalls in Thailand im Gefängnis saß, weil ihr ein Freund Rauschgift untergeschoben hatte. Das passierte 1977 − bevor Bangkok Hilton entstand. Allerdings kam Rita Nightingale durch eine Begnadigung frei, was damals aber auch sehr ungewöhnlich war."
