year	aysm	contig	ally	sq	dema	demb	disp	py
1947	0.962477	0	0	-0.0875111	10	4	0	1
1947	0.432808	1	0	0.591468	4	-9	0	1
1947	0.984976	0	0	-0.00305435	-9	10	0	1
1947	0.896463	0	0	0.583652	10	10	0	1
1947	0.902849	1	1	0.246667	10	10	0	1
1947	0.987856	1	0	-0.0779454	10	5	0	1
1947	0.998179	0	0	-0.0767976	10	10	0	1
1947	0.945326	0	0	-0.0536779	2	-9	0	1
1947	0.995682	0	0	0.0526729	10	-9	0	1
1947	0.834594	0	0	-0.0582893	10	10	0	1
1947	0.963647	0	0	0.192223	10	-9	0	1
1947	0.982776	0	0	0.0605254	8	10	0	1
1947	0.988552	0	0	-0.16167	-5	-9	0	1
1947	0.0370032	0	1	0.582185	-9	10	0	0
1947	0.651543	1	0	0.970135	10	10	0	1
1947	0.127563	1	0	0.98949	10	10	0	1
1947	0.896944	0	0	0.159073	-9	4	0	1
1947	0.356069	1	1	0.997981	-9	-5	0	1
1947	0.974317	0	0	0.487457	-4	-9	0	1
1947	0.961813	0	0	0.354836	10	10	0	1
1947	0.986847	0	0	0.344818	10	-9	0	0
1947	0.880444	1	0	-0.090636	-6	10	0	1
1947	0.972414	1	0	0.193707	10	-9	0	1
1947	0.980827	1	0	0.373649	-5	10	0	1
1947	0.257664	1	0	0.606694	5	-4	0	1
1947	0.990885	0	0	-0.44965	10	-4	0	1
1947	0.25877	1	1	0.999002	-3	-8	0	1
1947	0.994547	0	0	-0.160951	-9	-9	0	1
1947	0.954731	1	1	0.715657	10	-9	0	1
1947	0.986741	1	1	0.27715	-9	-9	0	1
1947	0.625395	0	0	0.156891	-6	10	0	1
1947	0.987397	0	0	-0.127319	10	-10	0	1
1947	0.996893	0	0	-0.160671	-9	-3	0	1
1947	0.649456	1	0	0.598136	10	-3	0	1
1947	0.634918	1	1	0.969699	5	7	0	1
1947	0.895252	1	1	0.973861	-5	7	0	1
1947	0.901007	1	1	0.621974	1	10	0	1
1947	0.960128	0	0	0.23732	10	10	0	1
1947	0.831724	1	0	0.220228	10	10	0	1
1947	0.95667	0	0	0.169582	5	10	0	1
1947	0.836715	1	1	0.569151	-9	10	0	1
1947	0.98376	0	1	0.301563	10	5	0	1
1947	0.845105	0	0	0.432125	-9	10	0	1
1947	0.682418	0	0	0.164551	10	1	0	1
1947	0.878085	0	0	0.166976	3	10	0	1
1947	0.966387	0	0	0.355558	10	10	0	1
1947	0.987054	0	0	0.0625477	10	10	0	1
1947	0.995327	0	1	0.305511	10	-1	0	1
1947	0.967285	0	0	-0.164255	3	-9	0	1
1947	0.983599	1	0	0.254653	10	5	0	1
1947	0.952561	0	0	0.521195	10	-10	0	1
1947	0.948218	0	0	0.352671	8	10	0	1
1947	0.990923	0	0	0.170653	-8	10	0	1
1947	0.997495	0	1	0.306247	10	-9	0	1
1947	0.889462	1	0	0.247206	10	4	0	1
1947	0.59213	0	1	0.436395	10	-9	0	1
1947	0.746619	0	0	-0.168867	10	-9	0	1
1947	0.987677	0	0	-0.0779654	10	-5	0	1
1947	0.964602	1	1	0.170367	-9	-10	0	1
1947	0.824677	1	1	0.984612	5	-6	0	1
1947	0.986792	0	0	-0.114987	10	10	0	1
1947	0.142394	1	1	0.999352	-8	-3	0	1
1947	0.991933	1	0	0.527843	-6	10	0	1
1947	0.97237	1	1	0.581137	10	-4	0	1
1947	0.999382	0	0	0.19819	10	-9	0	1
1947	0.918486	0	0	0.168343	10	-3	0	1
1947	0.999178	0	1	0.306816	10	-8	0	1
1947	0.409405	1	0	0.995938	5	2	0	1
